ordinal,exact_distance_htm,classification,frozen_sequence_13,frozen_sequence_sha256,proof_route
19,13,EXACT13,B2 D2 L2 D' L' U' R B2 U2 L' B L' D2,f407a2c1660be30d2ca91e8af6b9b364149d9d626922329760475f89d85d4865,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
20,12,EXACT12,B D' F2 U' R2 U2 B2 U2 L2 R' D2 F' B2,8832af9a86a8e3a85ca1a00a4849c19f88c1f78e153d90dc25eb925c12f92331,CURRENT_17_RADIUS6_WITNESS_PLUS_LB12_PREDECESSOR
21,13,EXACT13,L D B' D2 L B U F2 U' R2 D F2 D',9323a12944ffbaf0c32a51fdd513765a4a8de4d4b0bbaaa790876968297b53f3,REMOTE_16_STATE_FINAL_CLASSIFICATION
22,13,EXACT13,U2 R B2 U' R2 B D' L U' F2 U' B2 D',38c4b47e956ec03b5c3e7648e5e47fbbefad165267f263e47d1a5bca48486b19,REMOTE_16_STATE_FINAL_CLASSIFICATION
23,13,EXACT13,D2 L B2 D L B U2 R2 D R' D' R B2,a53f749b09b526f8e0c3925776e087296ad173e6821c9183b879b3cbcf91cd2f,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
24,13,EXACT13,B2 U' B L U' B D B U' D2 F D2 F',482c68678ffe0de2a1202d7ea39d6def25cadfc7f980c4aca583b8e1e4b91027,REMOTE_16_STATE_FINAL_CLASSIFICATION
25,13,EXACT13,D' L D L' F2 U2 R' U2 L' B L' U B2,9b5310e57cf41ad600b10f368e7bb8ec58955c41733e23cd2b3bdfbc280a7e4f,REMOTE_16_STATE_FINAL_CLASSIFICATION
26,13,EXACT13,B U2 F' U' F2 R2 U L2 B2 L2 U2 B2 R',e5f3ecf675b434961c142800e3e8865af733144c09f8876ac3fe9a09b2a1b308,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
27,13,EXACT13,B2 L B U L2 F2 D2 B' D' F2 R2 F' B,1a52f287f700bbacff4f6f9664c39a430e1898867e32607f2b887cbb1d7c66c5,V5_7_EXACT_DEPTH12_EXCLUSION
28,13,EXACT13,F' B2 R D' L B U' D' B D R2 F2 B2,52482f1de3a7883e69b0fac6d055bc8f0d5d451758102a84b2c2afd7d6e2bafc,V5_8_EDGE12_TO_CONFLICT13
29,12,EXACT12,U' D2 F' L' D' L B D B' L2 B R' F',07f181d4f3dacaa53ceee19d6d4d790d34c7c2efaf5f23d358cad969bbcfaa00,REMOTE_16_STATE_FINAL_CLASSIFICATION
30,13,EXACT13,R' F' L' B' L F B' R2 F' L2 B U' L',4e2087b9adf880259dbfb40548dd5a26b5640c5a8bb62b93b0c2db4ed675f089,V5_7_EXACT_DEPTH12_EXCLUSION
31,13,EXACT13,B2 L' U' F' U' F U D F2 D' L U2 F',a46489eb793a85f4f002f8069df9d2019c9b46bbc35e3fd8751aaaafcc99b17f,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
32,13,EXACT13,B2 U2 D F D' B2 L' F2 L2 F D2 B' R,53a6c1ebe747068dc86d825dd2effad44e14320212739470fd35ad33ec657e98,V5_8_EDGE12_TO_CONFLICT13
33,13,EXACT13,L B D B' D' L2 B R D' L2 R D' R,e765f9bb7f493e826d2daf58b823110d64feb7b38f2f118402946831c023b6f7,V5_8_EDGE12_TO_CONFLICT13
34,13,EXACT13,F' U2 R D F2 R F' D' L2 F R2 U' L,d160eeff4592687fdb8bd7df4f3f881653fed29226925476a12defde5c595ff9,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
35,13,EXACT13,U R2 B2 L' D2 B2 R F D2 R2 B R2 U',e02641f1d8b3f2a3444e92fbae03dc42156ee6404d51eae0b75f9324fbe7db7a,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
36,13,EXACT13,D2 R F B2 R U2 R' U' L' B2 L' D' B',d77715ff0135adc6d8eb1297f669d6f50bcd8b36dcbdcfcc435fefb3fb117f1b,REMOTE_16_STATE_FINAL_CLASSIFICATION
37,13,EXACT13,B2 L2 U' D' B' D R2 U' R2 U2 B' D' L2,d2da3e0f1323bfc325569696021588b50368c7b2c18c1a424e3071c439d70192,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
38,13,EXACT13,D' L2 R F' D L' R' F2 R' F R2 F' D,988b0ed8a608c1e4cc42e2b39e1d1259396384a8d8c34272bc313b671aba965a,REMOTE_16_STATE_FINAL_CLASSIFICATION
39,13,EXACT13,U' L2 R2 U F' R F' L' D R2 F2 R2 U,f747c8276acbe62916b5b6f32d5030b052fe5e5073830049f24ab669e20973a4,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
40,13,EXACT13,U D' F D B2 U R' D' F R2 B R' F,2ecba406d9da02c85526358b8b98a4648258601df1989f7b4299a111cdc3d428,REMOTE_16_STATE_FINAL_CLASSIFICATION
